GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
M250000US391411663099999,391411663099999,M25,JURIS-COUNTY-MORPC,Colerain,MORPC,39,39141,16630,,,,Township,ROSS_COLERAIN_TOWNSHIP
M250000US391411823899999,391411823899999,M25,JURIS-COUNTY-MORPC,Concord,MORPC,39,39141,18238,,,,Township,ROSS_CONCORD_TOWNSHIP
M250000US391412122499999,391412122499999,M25,JURIS-COUNTY-MORPC,Deerfield,MORPC,39,39141,21224,,,,Township,ROSS_DEERFIELD_TOWNSHIP
M250000US391412842099999,391412842099999,M25,JURIS-COUNTY-MORPC,Franklin,MORPC,39,39141,28420,,,,Township,ROSS_FRANKLIN_TOWNSHIP
M250000US391413182299999,391413182299999,M25,JURIS-COUNTY-MORPC,Green,MORPC,39,39141,31822,,,,Township,ROSS_GREEN_TOWNSHIP
M250000US391413400699999,391413400699999,M25,JURIS-COUNTY-MORPC,Harrison,MORPC,39,39141,34006,,,,Township,ROSS_HARRISON_TOWNSHIP
M250000US391413689099999,391413689099999,M25,JURIS-COUNTY-MORPC,Huntington,MORPC,39,39141,36890,,,,Township,ROSS_HUNTINGTON_TOWNSHIP
M250000US391413880899999,391413880899999,M25,JURIS-COUNTY-MORPC,Jefferson,MORPC,39,39141,38808,,,,Township,ROSS_JEFFERSON_TOWNSHIP
M250000US391414330299999,391414330299999,M25,JURIS-COUNTY-MORPC,Liberty,MORPC,39,39141,43302,,,,Township,ROSS_LIBERTY_TOWNSHIP
M250000US391415954299999,391415954299999,M25,JURIS-COUNTY-MORPC,Paint,MORPC,39,39141,59542,,,,Township,ROSS_PAINT_TOWNSHIP
M250000US391416130899999,391416130899999,M25,JURIS-COUNTY-MORPC,Paxton,MORPC,39,39141,61308,,,,Township,ROSS_PAXTON_TOWNSHIP
M250000US391417089899999,391417089899999,M25,JURIS-COUNTY-MORPC,Scioto,MORPC,39,39141,70898,,,,Township,ROSS_SCIOTO_TOWNSHIP
M250000US391417412999999,391417412999999,M25,JURIS-COUNTY-MORPC,Springfield,MORPC,39,39141,74129,,,,Township,ROSS_SPRINGFIELD_TOWNSHIP
M250000US391417800899999,391417800899999,M25,JURIS-COUNTY-MORPC,Twin,MORPC,39,39141,78008,,,,Township,ROSS_TWIN_TOWNSHIP
M250000US391417854099999,391417854099999,M25,JURIS-COUNTY-MORPC,Union,MORPC,39,39141,78540,,,,Township,ROSS_UNION_TOWNSHIP
M250000US3914184141,3914184141,M25,JURIS-COUNTY-MORPC,Chillicothe,MORPC,39,39141,,14184,,,City,ROSS_CHILLICOTHE_CITY
M250000US3915070129,3915070129,M25,JURIS-COUNTY-MORPC,Circleville,MORPC,39,39129,,15070,,,City,PICKAWAY_CIRCLEVILLE_CITY
M250000US3915336141,3915336141,M25,JURIS-COUNTY-MORPC,Clarksburg,MORPC,39,39141,,15336,,,Village,ROSS_CLARKSBURG_VILLAGE
M250000US391590133699999,391590133699999,M25,JURIS-COUNTY-MORPC,Allen,MORPC,39,39159,01336,,,,Township,UNION_ALLEN_TOWNSHIP
M250000US391591511299999,391591511299999,M25,JURIS-COUNTY-MORPC,Claibourne,MORPC,39,39159,15112,,,,Township,UNION_CLAIBOURNE_TOWNSHIP
M250000US391592017099999,391592017099999,M25,JURIS-COUNTY-MORPC,Darby,MORPC,39,39159,20170,,,,Township,UNION_DARBY_TOWNSHIP
M250000US391592248499999,391592248499999,M25,JURIS-COUNTY-MORPC,Dover,MORPC,39,39159,22484,,,,Township,UNION_DOVER_TOWNSHIP
M250000US391593810899999,391593810899999,M25,JURIS-COUNTY-MORPC,Jackson,MORPC,39,39159,38108,,,,Township,UNION_JACKSON_TOWNSHIP
M250000US391593904699999,391593904699999,M25,JURIS-COUNTY-MORPC,Jerome,MORPC,39,39159,39046,,,,Township,UNION_JEROME_TOWNSHIP
M250000US391594249099999,391594249099999,M25,JURIS-COUNTY-MORPC,Leesburg,MORPC,39,39159,42490,,,,Township,UNION_LEESBURG_TOWNSHIP
M250000US391594335899999,391594335899999,M25,JURIS-COUNTY-MORPC,Liberty,MORPC,39,39159,43358,,,,Township,UNION_LIBERTY_TOWNSHIP
M250000US391595028899999,391595028899999,M25,JURIS-COUNTY-MORPC,Millcreek,MORPC,39,39159,50288,,,,Township,UNION_MILLCREEK_TOWNSHIP
M250000US391595986499999,391595986499999,M25,JURIS-COUNTY-MORPC,Paris,MORPC,39,39159,59864,,,,Township,UNION_PARIS_TOWNSHIP
M250000US391597619499999,391597619499999,M25,JURIS-COUNTY-MORPC,Taylor,MORPC,39,39159,76194,,,,Township,UNION_TAYLOR_TOWNSHIP
M250000US391597858299999,391597858299999,M25,JURIS-COUNTY-MORPC,Union,MORPC,39,39159,78582,,,,Township,UNION_UNION_TOWNSHIP
M250000US391598166299999,391598166299999,M25,JURIS-COUNTY-MORPC,Washington,MORPC,39,39159,81662,,,,Township,UNION_WASHINGTON_TOWNSHIP
M250000US391598712299999,391598712299999,M25,JURIS-COUNTY-MORPC,York,MORPC,39,39159,87122,,,,Township,UNION_YORK_TOWNSHIP
M250000US3918000041,3918000041,M25,JURIS-COUNTY-MORPC,Columbus,MORPC,39,39041,,18000,,,City,DELAWARE_COLUMBUS_CITY
M250000US3918000045,3918000045,M25,JURIS-COUNTY-MORPC,Columbus,MORPC,39,39045,,18000,,,City,FAIRFIELD_COLUMBUS_CITY
M250000US3918000049,3918000049,M25,JURIS-COUNTY-MORPC,Columbus,MORPC,39,39049,,18000,,,City,FRANKLIN_COLUMBUS_CITY
M250000US3918070049,3918070049,M25,JURIS-COUNTY-MORPC,Commercial Point,MORPC,39,39049,,18070,,,Village,FRANKLIN_COMMERCIAL POINT_VILLAGE
M250000US3918070129,3918070129,M25,JURIS-COUNTY-MORPC,Commercial Point,MORPC,39,39129,,18070,,,Village,PICKAWAY_COMMERCIAL POINT_VILLAGE
M250000US3918770127,3918770127,M25,JURIS-COUNTY-MORPC,Corning,MORPC,39,39127,,18770,,,Village,PERRY_CORNING_VILLAGE
M250000US3919456127,3919456127,M25,JURIS-COUNTY-MORPC,Crooksville,MORPC,39,39127,,19456,,,Village,PERRY_CROOKSVILLE_VILLAGE
M250000US3920114083,3920114083,M25,JURIS-COUNTY-MORPC,Danville,MORPC,39,39083,,20114,,,Village,KNOX_DANVILLE_VILLAGE
M250000US3920212129,3920212129,M25,JURIS-COUNTY-MORPC,Darbyville,MORPC,39,39129,,20212,,,Village,PICKAWAY_DARBYVILLE_VILLAGE
M250000US3921378091,3921378091,M25,JURIS-COUNTY-MORPC,De Graff,MORPC,39,39091,,21378,,,Village,LOGAN_DE GRAFF_VILLAGE
M250000US3921434041,3921434041,M25,JURIS-COUNTY-MORPC,Delaware,MORPC,39,39041,,21434,,,City,DELAWARE_DELAWARE_CITY
M250000US3922694041,3922694041,M25,JURIS-COUNTY-MORPC,Dublin,MORPC,39,39041,,22694,,,City,DELAWARE_DUBLIN_CITY
M250000US3922694049,3922694049,M25,JURIS-COUNTY-MORPC,Dublin,MORPC,39,39049,,22694,,,City,FRANKLIN_DUBLIN_CITY
M250000US3922694159,3922694159,M25,JURIS-COUNTY-MORPC,Dublin,MORPC,39,39159,,22694,,,City,UNION_DUBLIN_CITY
M250000US3924598117,3924598117,M25,JURIS-COUNTY-MORPC,Edison,MORPC,39,39117,,24598,,,Village,MORROW_EDISON_VILLAGE
M250000US3928182141,3928182141,M25,JURIS-COUNTY-MORPC,Frankfort,MORPC,39,39141,,28182,,,Village,ROSS_FRANKFORT_VILLAGE
M250000US3928658083,3928658083,M25,JURIS-COUNTY-MORPC,Fredericktown,MORPC,39,39083,,28658,,,Village,KNOX_FREDERICKTOWN_VILLAGE
M250000US3929050117,3929050117,M25,JURIS-COUNTY-MORPC,Fulton,MORPC,39,39117,,29050,,,Village,MORROW_FULTON_VILLAGE
M250000US3929106049,3929106049,M25,JURIS-COUNTY-MORPC,Gahanna,MORPC,39,39049,,29106,,,City,FRANKLIN_GAHANNA_CITY
M250000US3929148041,3929148041,M25,JURIS-COUNTY-MORPC,Galena,MORPC,39,39041,,29148,,,Village,DELAWARE_GALENA_VILLAGE
M250000US3929246083,3929246083,M25,JURIS-COUNTY-MORPC,Gambier,MORPC,39,39083,,29246,,,Village,KNOX_GAMBIER_VILLAGE
